               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11976,            0.073476,            0.048859,           0.0022807,            0.053996,           0.0016492,           0.0004444,             0.11134,            0.058893,            0.049923,              0.0775,              0.0025,              0.0025
                   1,             0.10394,            0.083047,            0.044272,            0.019927,             0.17964,            0.013672,            0.003385,            0.096678,             0.11966,            0.043175,            0.054066,           0.0050663,           0.0050663
                   2,            0.095818,            0.073684,            0.039927,            0.092078,             0.14654,            0.051277,             0.01353,              0.0955,            0.060411,            0.038706,            0.030598,           0.0075984,           0.0075984
                   3,            0.091606,            0.065581,            0.035553,             0.12703,              0.3673,             0.11888,             0.03463,            0.093787,            0.052926,            0.033526,            0.009802,            0.009802,            0.009802
                   4,            0.090388,            0.065078,            0.026306,             0.34602,             0.29624,             0.15464,            0.046144,             0.09496,            0.059686,            0.026111,            0.009802,            0.009802,            0.009802
                   5,            0.082306,            0.062106,            0.022209,             0.37287,              0.4423,              0.2024,            0.074687,            0.083161,              0.0518,            0.021725,            0.009736,            0.009736,            0.009736
                   6,            0.078837,            0.064562,            0.019071,              0.4404,             0.48386,             0.30791,             0.10694,            0.074351,            0.050465,            0.017408,             0.00967,             0.00967,             0.00967
                   7,             0.07932,             0.06328,            0.016933,             0.47319,             0.53134,             0.36848,              0.1438,            0.069668,            0.055023,            0.013985,            0.009604,            0.009604,            0.009604
                   8,            0.072394,            0.060311,            0.013617,             0.49437,              0.5611,             0.41376,             0.16634,             0.06831,            0.048585,            0.011055,            0.009538,            0.009538,            0.009538
                   9,            0.073152,            0.059982,             0.01126,             0.69937,              0.6009,             0.58601,             0.22353,            0.070099,            0.052064,           0.0084028,            0.009472,            0.009472,            0.009472
                  10,            0.068177,            0.056103,            0.010629,              0.6343,             0.55225,             0.55208,             0.21809,            0.068045,            0.053224,           0.0098114,            0.009406,            0.009406,            0.009406
                  11,            0.070137,            0.058304,           0.0086109,             0.76544,             0.58852,             0.71306,             0.31679,            0.063259,            0.046238,           0.0082638,             0.00934,             0.00934,             0.00934
                  12,            0.069219,            0.056079,           0.0081591,             0.59226,              0.7842,             0.73867,             0.32742,            0.059877,            0.043311,           0.0065956,            0.009274,            0.009274,            0.009274
                  13,            0.066384,            0.055127,           0.0077118,             0.65904,             0.74138,             0.73817,             0.33592,            0.061095,            0.049085,           0.0084558,            0.009208,            0.009208,            0.009208
                  14,            0.065773,            0.055836,           0.0070841,             0.71986,             0.73437,              0.7832,              0.3713,            0.061101,             0.04144,           0.0051787,            0.009142,            0.009142,            0.009142
                  15,            0.063399,            0.051529,            0.006405,             0.79767,             0.69338,             0.77473,             0.34002,            0.062134,            0.041522,           0.0062726,            0.009076,            0.009076,            0.009076
                  16,            0.065861,            0.054081,           0.0061849,             0.76627,              0.7427,             0.80836,             0.38367,            0.060414,            0.041891,           0.0046685,             0.00901,             0.00901,             0.00901
